iter	Passed	Remaining
0	1	156
1	2	124
2	3	110
3	4	98
4	4	94
5	5	90
6	6	87
7	7	85
8	8	83
9	9	81
10	10	82
11	11	83
12	12	82
13	13	81
14	14	79
15	14	78
16	15	76
17	16	75
18	17	73
19	18	72
20	19	72
21	20	71
22	20	70
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	40	45
47	41	44
48	42	43
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
