iter	Passed	Remaining
0	168	167941
1	169	84717
2	171	57016
3	172	43025
4	173	34613
5	174	28945
6	175	24906
7	176	21865
8	177	19499
9	178	17647
10	180	16203
11	181	14960
12	182	13884
13	184	12964
14	185	12172
15	186	11488
16	188	10887
17	189	10341
18	190	9848
19	192	9408
20	193	9010
21	195	8673
22	196	8347
23	197	8037
24	198	7755
25	200	7501
26	201	7266
27	202	7043
28	204	6833
29	205	6635
30	206	6453
31	207	6287
32	210	6154
33	211	6005
34	212	5858
35	213	5720
36	215	5599
37	216	5481
38	217	5364
39	218	5252
40	220	5147
41	221	5046
42	222	4951
43	223	4865
44	225	4792
45	226	4707
46	228	4627
47	229	4554
48	231	4491
49	232	4419
50	233	4350
51	234	4282
52	236	4218
53	237	4156
54	238	4098
55	240	4058
56	242	4006
57	243	3959
58	244	3907
59	246	3858
60	248	3818
61	249	3779
62	251	3737
63	252	3697
64	257	3699
65	258	3658
66	259	3618
67	261	3580
68	262	3546
69	264	3511
70	265	3473
71	266	3436
72	267	3401
73	268	3366
74	271	3350
75	273	3319
76	274	3285
77	275	3253
78	276	3223
79	277	3193
80	278	3164
81	280	3135
82	280	3099
83	281	3072
84	283	3046
85	284	3021
86	286	3006
87	288	2984
88	289	2960
89	290	2935
90	291	2912
91	292	2889
92	293	2866
93	295	2844
94	296	2821
95	297	2799
96	298	2778
97	299	2759
98	301	2741
99	302	2726
100	304	2707
101	305	2689
102	306	2671
103	308	2654
104	309	2636
105	310	2618
106	311	2601
107	313	2585
108	315	2575
109	317	2571
110	319	2557
111	320	2542
112	321	2527
113	323	2513
114	324	2499
115	326	2485
116	326	2467
117	328	2453
118	329	2440
119	331	2427
120	333	2419
121	334	2405
122	335	2391
123	336	2378
124	337	2365
125	339	2353
126	340	2339
127	341	2327
128	342	2315
129	344	2304
130	345	2292
131	347	2281
132	349	2278
133	351	2269
134	353	2262
135	354	2253
136	356	2245
137	358	2236
138	359	2229
139	361	2219
140	363	2211
141	363	2199
142	365	2189
143	366	2180
144	368	2171
145	369	2162
146	371	2153
147	374	2158
148	376	2152
149	381	2159
150	382	2151
151	384	2143
152	386	2136
153	388	2134
154	391	2134
155	397	2147
156	398	2142
157	401	2139
158	403	2132
159	404	2124
160	405	2113
161	406	2105
162	408	2098
163	410	2092
164	411	2084
165	413	2077
166	415	2071
167	417	2065
168	418	2057
169	419	2050
170	421	2043
171	422	2036
172	426	2039
173	427	2031
174	429	2023
175	431	2018
176	432	2011
177	433	2002
178	435	1995
179	436	1988
